======================================================================
Teacher vs Student Embedding Statistics (AffectNet)
======================================================================

Overall Cosine Similarity:
  Mean: 0.9529
  Std:  0.0278

Per-Emotion Statistics:
----------------------------------------------------------------------
Emotion      Count    Mean Cos Sim    Std Cos Sim 
----------------------------------------------------------------------
Anger        625      0.9510          0.0285      
Contempt     625      0.9498          0.0286      
Disgust      625      0.9507          0.0305      
Fear         625      0.9569          0.0256      
Happy        625      0.9543          0.0266      
Neutral      625      0.9549          0.0259      
Sad          625      0.9531          0.0281      
Surprise     625      0.9523          0.0278      
